study,rows,cols,steps,mode,mpi_procs,omp_threads,time
openmp,15000,15000,50,static,1,1,221.111303
openmp,15000,15000,50,static,1,2,114.191574
openmp,15000,15000,50,static,1,4,56.933796
openmp,15000,15000,50,static,1,6,38.238025
openmp,15000,15000,50,static,1,8,28.645473
openmp,15000,15000,50,static,1,10,22.901931
openmp,15000,15000,50,static,1,12,19.183020
openmp,10000,10000,50,static,1,1,98.212093
openmp,10000,10000,50,static,1,2,50.417118
openmp,10000,10000,50,static,1,4,25.023120
openmp,10000,10000,50,static,1,6,16.757456
openmp,10000,10000,50,static,1,8,12.542094
openmp,10000,10000,50,static,1,10,10.030005
openmp,10000,10000,50,static,1,12,8.323295
openmp,20000,20000,50,static,1,1,393.561292
openmp,20000,20000,50,static,1,2,204.702855
openmp,20000,20000,50,static,1,4,103.043983
openmp,20000,20000,50,static,1,6,69.110877
openmp,20000,20000,50,static,1,8,51.705361
openmp,20000,20000,50,static,1,10,41.813387
openmp,20000,20000,50,static,1,12,34.975525
openmp,10000,10000,100,static,1,1,260.121578
openmp,10000,10000,100,static,1,2,130.928203
openmp,10000,10000,100,static,1,4,65.626232
openmp,10000,10000,100,static,1,8,32.818437
openmp,10000,10000,100,static,1,16,16.584376
openmp,10000,10000,100,static,1,24,11.088258
openmp,10000,10000,100,static,1,32,8.331670
openmp,10000,10000,100,static,1,40,6.674518
openmp,10000,10000,100,static,1,48,5.606279
openmp,10000,10000,100,static,1,56,4.834084
openmp,10000,10000,100,static,1,64,4.261266
openmp,10000,10000,50,static,1,1,132.423497
openmp,10000,10000,50,static,1,2,67.557716
openmp,10000,10000,50,static,1,4,33.360201
openmp,10000,10000,50,static,1,8,16.696584
openmp,10000,10000,50,static,1,16,8.431717
openmp,10000,10000,50,static,1,24,5.519063
openmp,10000,10000,50,static,1,32,4.170424
openmp,10000,10000,50,static,1,40,3.371977
openmp,10000,10000,50,static,1,48,2.796998
openmp,10000,10000,50,static,1,56,2.424609
openmp,10000,10000,50,static,1,64,2.130692
openmp,10000,10000,50,static,1,1,132.274101
openmp,10000,10000,50,static,1,2,66.591953
openmp,10000,10000,50,static,1,4,33.599011
openmp,10000,10000,50,static,1,8,16.816506
openmp,10000,10000,50,static,1,16,8.385744
openmp,10000,10000,50,static,1,24,5.526439
openmp,10000,10000,50,static,1,32,4.172773
openmp,10000,10000,50,static,1,40,3.335997
openmp,10000,10000,50,static,1,48,2.800192
openmp,10000,10000,50,static,1,56,2.422225
openmp,10000,10000,50,static,1,64,2.130329
openmp,10000,10000,50,static,1,1,130.121596
openmp,20000,20000,50,static,1,1,520.923221
openmp,15000,15000,50,static,1,1,295.907464
openmp,15000,15000,50,static,1,2,152.868141
openmp,15000,15000,50,static,1,4,75.220487
openmp,15000,15000,50,static,1,8,37.884045
openmp,15000,15000,50,static,1,16,18.988977
openmp,15000,15000,50,static,1,24,12.873953
openmp,15000,15000,50,static,1,32,9.545904
openmp,15000,15000,50,static,1,40,7.589625
openmp,15000,15000,50,static,1,48,6.966092
openmp,15000,15000,50,static,1,56,5.577479
openmp,15000,15000,50,static,1,64,4.954296
openmp,20000,20000,50,static,1,1,528.806037
openmp,20000,20000,50,static,1,2,273.904901
openmp,20000,20000,50,static,1,4,134.223632
openmp,20000,20000,50,static,1,8,67.050371
openmp,20000,20000,50,static,1,16,33.882471
openmp,20000,20000,50,static,1,24,22.553233
openmp,20000,20000,50,static,1,32,17.059928
openmp,20000,20000,50,static,1,40,13.730437
openmp,20000,20000,50,static,1,48,11.290639
openmp,20000,20000,50,static,1,56,9.865296
openmp,20000,20000,50,static,1,64,8.731788
