study,rows,cols,steps,mode,mpi_procs,omp_threads,time
openmp,10000,10000,50,static,1,1,132.423497
openmp,10000,10000,50,static,1,2,67.557716
openmp,10000,10000,50,static,1,4,33.360201
openmp,10000,10000,50,static,1,8,16.696584
openmp,10000,10000,50,static,1,16,8.431717
openmp,10000,10000,50,static,1,24,5.519063
openmp,10000,10000,50,static,1,32,4.170424
openmp,10000,10000,50,static,1,40,3.371977
openmp,10000,10000,50,static,1,48,2.796998
openmp,10000,10000,50,static,1,56,2.424609
openmp,10000,10000,50,static,1,64,2.130692
openmp,15000,15000,50,static,1,1,295.907464
openmp,15000,15000,50,static,1,2,152.868141
openmp,15000,15000,50,static,1,4,75.220487
openmp,15000,15000,50,static,1,8,37.884045
openmp,15000,15000,50,static,1,16,18.988977
openmp,15000,15000,50,static,1,24,12.873953
openmp,15000,15000,50,static,1,32,9.545904
openmp,15000,15000,50,static,1,40,7.589625
openmp,15000,15000,50,static,1,48,6.966092
openmp,15000,15000,50,static,1,56,5.577479
openmp,15000,15000,50,static,1,64,4.954296
openmp,20000,20000,50,static,1,1,528.806037
openmp,20000,20000,50,static,1,2,273.904901
openmp,20000,20000,50,static,1,4,134.223632
openmp,20000,20000,50,static,1,8,67.050371
openmp,20000,20000,50,static,1,16,33.882471
openmp,20000,20000,50,static,1,24,22.553233
openmp,20000,20000,50,static,1,32,17.059928
openmp,20000,20000,50,static,1,40,13.730437
openmp,20000,20000,50,static,1,48,11.290639
openmp,20000,20000,50,static,1,56,9.865296
openmp,20000,20000,50,static,1,64,8.731788
