study,rows,cols,steps,mode,mpi_procs,omp_threads,time
mpi,20000,20000,50,static,8,2,83.274313
mpi,20000,20000,50,static,1,4,281.027388
mpi,20000,20000,50,static,10,2,67.872693
mpi,20000,20000,50,static,2,4,141.427879
mpi,20000,20000,50,static,1,3,210.582026
mpi,20000,20000,50,static,4,4,70.202884
mpi,20000,20000,50,static,2,3,105.087833
mpi,20000,20000,50,static,8,4,36.226847
mpi,20000,20000,50,static,12,2,84.081090
mpi,20000,20000,50,static,12,4,24.909971
mpi,20000,20000,50,static,16,4,19.237988
mpi,20000,20000,50,static,4,3,105.162887
mpi,20000,20000,50,static,8,3,61.203563
