M,N,K,Time(s),GFLOPS,Precision,Binding,Cores
2000,2000,2000,0.022210,720.402381,float,spread,64
3000,3000,3000,0.035580,1517.720824,float,spread,64
4000,4000,4000,0.057841,2212.949962,float,spread,64
5000,5000,5000,0.104950,2382.078741,float,spread,64
6000,6000,6000,0.242889,1778.590550,float,spread,64
7000,7000,7000,0.507627,1351.385256,float,spread,64
8000,8000,8000,0.807190,1268.598201,float,spread,64
9000,9000,9000,1.101858,1323.220011,float,spread,64
10000,10000,10000,1.380035,1449.238379,float,spread,64
11000,11000,11000,1.710807,1555.990476,float,spread,64
12000,12000,12000,2.123579,1627.441022,float,spread,64
13000,13000,13000,2.629599,1670.977187,float,spread,64
14000,14000,14000,3.222526,1703.011656,float,spread,64
15000,15000,15000,2.975281,2268.693335,float,spread,64
16000,16000,16000,3.570784,2294.173796,float,spread,64
17000,17000,17000,4.911849,2000.468473,float,spread,64
18000,18000,18000,5.918225,1970.861213,float,spread,64
19000,19000,19000,6.714842,2042.937193,float,spread,64
20000,20000,20000,7.517669,2128.319202,float,spread,64
2000,2000,2000,0.021057,759.828007,float,close,64
3000,3000,3000,0.035208,1533.726257,float,close,64
4000,4000,4000,0.056428,2268.389863,float,close,64
5000,5000,5000,0.106010,2358.263839,float,close,64
6000,6000,6000,0.242889,1778.590469,float,close,64
7000,7000,7000,0.508273,1349.669088,float,close,64
8000,8000,8000,0.799753,1280.395497,float,close,64
9000,9000,9000,1.092317,1334.777466,float,close,64
10000,10000,10000,1.377638,1451.760560,float,close,64
11000,11000,11000,1.714189,1552.920931,float,close,64
12000,12000,12000,2.124441,1626.781098,float,close,64
13000,13000,13000,2.632491,1669.141411,float,close,64
14000,14000,14000,3.224250,1702.101120,float,close,64
15000,15000,15000,3.027675,2229.433291,float,close,64
16000,16000,16000,3.549192,2308.131154,float,close,64
17000,17000,17000,5.208442,1886.552480,float,close,64
18000,18000,18000,5.825802,2002.127641,float,close,64
19000,19000,19000,6.677549,2054.346467,float,close,64
20000,20000,20000,7.539840,2122.061083,float,close,64
2000,2000,2000,0.029775,537.362098,double,spread,64
3000,3000,3000,0.062082,869.816722,double,spread,64
4000,4000,4000,0.163204,784.293734,double,spread,64
5000,5000,5000,0.388667,643.224886,double,spread,64
6000,6000,6000,0.639288,675.751557,double,spread,64
7000,7000,7000,0.934859,733.800303,double,spread,64
8000,8000,8000,1.320028,775.741305,double,spread,64
9000,9000,9000,1.799653,810.156316,double,spread,64
10000,10000,10000,2.413607,828.635152,double,spread,64
11000,11000,11000,4.103103,648.777303,double,spread,64
12000,12000,12000,3.181882,1086.149509,double,spread,64
13000,13000,13000,4.747693,925.502138,double,spread,64
14000,14000,14000,5.688204,964.803695,double,spread,64
15000,15000,15000,6.711539,1005.730519,double,spread,64
16000,16000,16000,7.856312,1042.728404,double,spread,64
17000,17000,17000,9.041420,1086.776187,double,spread,64
18000,18000,18000,11.025244,1057.935777,double,spread,64
19000,19000,19000,14.886316,921.517425,double,spread,64
20000,20000,20000,16.518940,968.585170,double,spread,64
2000,2000,2000,0.034139,468.675611,double,close,64
3000,3000,3000,0.065527,824.083115,double,close,64
4000,4000,4000,0.161389,793.115254,double,close,64
5000,5000,5000,0.382847,653.002101,double,close,64
6000,6000,6000,0.626822,689.190601,double,close,64
7000,7000,7000,0.938639,730.845308,double,close,64
8000,8000,8000,1.321300,774.994080,double,close,64
9000,9000,9000,1.798659,810.603736,double,close,64
10000,10000,10000,2.383904,838.960102,double,close,64
11000,11000,11000,4.106103,648.303283,double,close,64
12000,12000,12000,3.182545,1085.923285,double,close,64
13000,13000,13000,4.674157,940.062562,double,close,64
14000,14000,14000,5.673343,967.330978,double,close,64
15000,15000,15000,6.696839,1007.938230,double,close,64
16000,16000,16000,7.871000,1040.782685,double,close,64
17000,17000,17000,9.038144,1087.170095,double,close,64
18000,18000,18000,11.029177,1057.558558,double,close,64
19000,19000,19000,14.796967,927.081855,double,close,64
20000,20000,20000,17.051477,938.335138,double,close,64
