M,N,K,Time(s),GFLOPS,Precision,Binding,Cores
2000,2000,2000,0.017954,891.160755,float,spread,64
3000,3000,3000,0.030975,1743.346301,float,spread,64
4000,4000,4000,0.054758,2337.549189,float,spread,64
5000,5000,5000,0.098054,2549.605429,float,spread,64
6000,6000,6000,0.175716,2458.514489,float,spread,64
7000,7000,7000,0.324160,2116.241388,float,spread,64
8000,8000,8000,0.538535,1901.454022,float,spread,64
9000,9000,9000,0.791898,1841.146471,float,spread,64
10000,10000,10000,1.090635,1833.793864,float,spread,64
11000,11000,11000,1.468440,1812.807765,float,spread,64
12000,12000,12000,1.855572,1862.498591,float,spread,64
13000,13000,13000,2.387627,1840.320992,float,spread,64
14000,14000,14000,2.956576,1856.201478,float,spread,64
15000,15000,15000,3.690011,1829.262924,float,spread,64
16000,16000,16000,4.524838,1810.451661,float,spread,64
17000,17000,17000,5.342227,1839.307786,float,spread,64
18000,18000,18000,6.094314,1913.915116,float,spread,64
19000,19000,19000,6.942073,1976.066801,float,spread,64
20000,20000,20000,6.731623,2376.841258,float,spread,64
2000,2000,2000,0.017820,897.863534,float,close,64
3000,3000,3000,0.032052,1684.741446,float,close,64
4000,4000,4000,0.055511,2305.850994,float,close,64
5000,5000,5000,0.092655,2698.191589,float,close,64
6000,6000,6000,0.186251,2319.451879,float,close,64
7000,7000,7000,0.320377,2141.224773,float,close,64
8000,8000,8000,0.540757,1893.640770,float,close,64
9000,9000,9000,0.795252,1833.381087,float,close,64
10000,10000,10000,1.088235,1837.838875,float,close,64
11000,11000,11000,1.477256,1801.989563,float,close,64
12000,12000,12000,1.854390,1863.685275,float,close,64
13000,13000,13000,2.368952,1854.828942,float,close,64
14000,14000,14000,2.955254,1857.031382,float,close,64
15000,15000,15000,3.616850,1866.264632,float,close,64
16000,16000,16000,4.432517,1848.159897,float,close,64
17000,17000,17000,5.276061,1862.374054,float,close,64
18000,18000,18000,6.065619,1922.969308,float,close,64
19000,19000,19000,6.876568,1994.890507,float,close,64
20000,20000,20000,5.806400,2755.579930,float,close,64
2000,2000,2000,0.030065,532.180188,double,spread,64
3000,3000,3000,0.065487,824.591191,double,spread,64
4000,4000,4000,0.156407,818.378898,double,spread,64
5000,5000,5000,0.335921,744.222941,double,spread,64
6000,6000,6000,0.583735,740.061912,double,spread,64
7000,7000,7000,0.935246,733.496483,double,spread,64
8000,8000,8000,1.367496,748.813990,double,spread,64
9000,9000,9000,1.986150,734.083350,double,spread,64
10000,10000,10000,2.672312,748.415688,double,spread,64
11000,11000,11000,3.386749,786.004491,double,spread,64
12000,12000,12000,4.315717,800.793926,double,spread,64
13000,13000,13000,5.427972,809.510487,double,spread,64
14000,14000,14000,6.583365,833.616298,double,spread,64
15000,15000,15000,7.549396,894.111319,double,spread,64
16000,16000,16000,8.584604,954.266461,double,spread,64
17000,17000,17000,9.892703,993.257316,double,spread,64
18000,18000,18000,12.039689,968.795807,double,spread,64
19000,19000,19000,16.541568,829.304671,double,spread,64
20000,20000,20000,18.694182,855.881276,double,spread,64
2000,2000,2000,0.034006,470.510712,double,close,64
3000,3000,3000,0.064891,832.159603,double,close,64
4000,4000,4000,0.150976,847.819084,double,close,64
5000,5000,5000,0.320404,780.264455,double,close,64
6000,6000,6000,0.583207,740.731386,double,close,64
7000,7000,7000,0.934060,734.428543,double,close,64
8000,8000,8000,1.356261,755.017074,double,close,64
9000,9000,9000,1.986578,733.925427,double,close,64
10000,10000,10000,2.657268,752.652792,double,close,64
11000,11000,11000,3.378555,787.910711,double,close,64
12000,12000,12000,4.319939,800.011277,double,close,64
13000,13000,13000,5.453130,805.775693,double,close,64
14000,14000,14000,6.524206,841.175202,double,close,64
15000,15000,15000,7.480985,902.287580,double,close,64
16000,16000,16000,8.628321,949.431506,double,close,64
17000,17000,17000,9.883111,994.221318,double,close,64
18000,18000,18000,12.003130,971.746513,double,close,64
19000,19000,19000,16.438525,834.503109,double,close,64
20000,20000,20000,18.565536,861.811925,double,close,64
