M,N,K,Time(s),GFLOPS,Precision,Binding,Cores
2000,2000,2000,0.029089,550.040861,float,spread,12
2000,2000,2000,0.068574,233.324475,double,spread,12
3000,3000,3000,0.153270,352.320494,double,spread,12
4000,4000,4000,0.354724,360.843775,double,spread,12
5000,5000,5000,0.612063,408.454576,double,spread,12
6000,6000,6000,1.025224,421.371421,double,spread,12
7000,7000,7000,1.627376,421.537519,double,spread,12
8000,8000,8000,2.503500,409.027423,double,spread,12
9000,9000,9000,3.660624,398.292724,double,spread,12
10000,10000,10000,5.191196,385.267667,double,spread,12
11000,11000,11000,6.946104,383.236409,double,spread,12
12000,12000,12000,8.969714,385.296577,double,spread,12
13000,13000,13000,4.897060,897.273083,float,spread,12
10000,10000,10000,20.362258,98.220936,float,spread,1
14000,14000,14000,6.192825,886.186797,float,spread,12
10000,10000,10000,10.796284,185.248919,float,spread,2
15000,15000,15000,7.523704,897.164477,float,spread,12
10000,10000,10000,5.507478,363.142654,float,spread,4
10000,10000,10000,2.750980,727.013572,float,spread,8
10000,10000,10000,1.449441,1379.842672,float,spread,16
16000,16000,16000,9.005961,909.619727,float,spread,12
10000,10000,10000,1.399348,1429.237094,float,spread,32
10000,10000,10000,1.270077,1574.707250,float,spread,48
10000,10000,10000,1.373456,1456.180843,float,spread,64
17000,17000,17000,10.921848,899.664578,float,spread,12
10000,10000,10000,20.338141,98.337404,float,close,1
18000,18000,18000,12.786198,912.233618,float,spread,12
10000,10000,10000,10.461565,191.175977,float,close,2
10000,10000,10000,5.406417,369.930746,float,close,4
19000,19000,19000,14.871729,922.421358,float,spread,12
10000,10000,10000,2.674921,747.685524,float,close,8
10000,10000,10000,1.427007,1401.534459,float,close,16
10000,10000,10000,1.245903,1605.261938,float,close,32
10000,10000,10000,1.200957,1665.338558,float,close,48
10000,10000,10000,1.370780,1459.023766,float,close,64
20000,20000,20000,17.284802,925.668694,float,spread,12
2000,2000,2000,0.047107,339.649217,double,close,12
3000,3000,3000,0.158948,339.733923,double,close,12
4000,4000,4000,0.299776,426.984870,double,close,12
5000,5000,5000,0.576674,433.520256,double,close,12
6000,6000,6000,0.972038,444.427277,double,close,12
7000,7000,7000,1.681360,408.002999,double,close,12
8000,8000,8000,2.489169,411.382197,double,close,12
9000,9000,9000,3.704178,393.609563,double,close,12
10000,10000,10000,5.164114,387.288144,double,close,12
10000,10000,10000,41.722854,47.935360,double,spread,1
11000,11000,11000,6.907634,385.370719,double,close,12
12000,12000,12000,9.022088,383.059868,double,close,12
10000,10000,10000,22.046248,90.718385,double,spread,2
13000,13000,13000,11.376920,386.220539,double,close,12
10000,10000,10000,11.357463,176.095662,double,spread,4
10000,10000,10000,5.510452,362.946635,double,spread,8
10000,10000,10000,2.943437,679.477758,double,spread,16
14000,14000,14000,14.087513,389.564850,double,close,12
10000,10000,10000,2.484013,805.148607,double,spread,32
10000,10000,10000,2.373760,842.545077,double,spread,48
10000,10000,10000,2.382510,839.450839,double,spread,64
15000,15000,15000,17.155723,393.454711,double,close,12
16000,16000,16000,20.474550,400.106483,double,close,12
10000,10000,10000,41.702737,47.958482,double,close,1
10000,10000,10000,21.457047,93.209469,double,close,2
17000,17000,17000,24.232540,405.487835,double,close,12
10000,10000,10000,11.667286,171.419475,double,close,4
10000,10000,10000,5.738826,348.503311,double,close,8
10000,10000,10000,2.877547,695.036338,double,close,16
10000,10000,10000,2.377077,841.369392,double,close,32
10000,10000,10000,2.259195,885.270928,double,close,48
10000,10000,10000,2.395574,834.873146,double,close,64
18000,18000,18000,29.016049,401.984428,double,close,12
