M,N,K,Time,GFLOPS,Precision,Binding,Cores
10000,10000,10000,20.367507,98.195621,float,spread,1
10000,10000,10000,10.824720,184.762293,float,spread,2
10000,10000,10000,5.509368,363.018059,float,spread,4
10000,10000,10000,2.745232,728.535871,float,spread,8
10000,10000,10000,1.448326,1380.905047,float,spread,16
10000,10000,10000,1.393519,1435.215781,float,spread,32
10000,10000,10000,1.271199,1573.317195,float,spread,48
10000,10000,10000,1.364003,1466.272911,float,spread,64
10000,10000,10000,20.486186,97.626760,float,close,1
10000,10000,10000,10.467706,191.063836,float,close,2
10000,10000,10000,5.408508,369.787781,float,close,4
10000,10000,10000,2.678013,746.822427,float,close,8
10000,10000,10000,1.426401,1402.130560,float,close,16
10000,10000,10000,1.247605,1603.070890,float,close,32
10000,10000,10000,1.195256,1673.281175,float,close,48
10000,10000,10000,1.368556,1461.394480,float,close,64
10000,10000,10000,41.535268,48.151851,double,spread,1
10000,10000,10000,22.231126,89.963953,double,spread,2
10000,10000,10000,11.273920,177.400582,double,spread,4
10000,10000,10000,5.583904,358.172342,double,spread,8
10000,10000,10000,2.945302,679.047500,double,spread,16
10000,10000,10000,2.480231,806.376445,double,spread,32
10000,10000,10000,2.365275,845.567508,double,spread,48
10000,10000,10000,2.390148,836.768300,double,spread,64
10000,10000,10000,41.681461,47.982963,double,close,1
10000,10000,10000,21.703784,92.149832,double,close,2
10000,10000,10000,11.689583,171.092496,double,close,4
10000,10000,10000,5.718874,349.719176,double,close,8
10000,10000,10000,2.860985,699.059860,double,close,16
10000,10000,10000,2.370520,843.696786,double,close,32
10000,10000,10000,2.285205,875.194815,double,close,48
10000,10000,10000,2.386100,838.187690,double,close,64
