M,N,K,Time(s),GFLOPS,Precision,Binding,Cores
2000,2000,2000,0.022581,708.550849,float,spread,12
3000,3000,3000,0.063243,853.851072,float,spread,12
4000,4000,4000,0.139873,915.115960,float,spread,12
5000,5000,5000,0.265398,941.982850,float,spread,12
6000,6000,6000,0.446125,968.338199,float,spread,12
7000,7000,7000,0.705118,972.886986,float,spread,12
8000,8000,8000,1.074049,953.401425,float,spread,12
9000,9000,9000,1.534333,950.250299,float,spread,12
10000,10000,10000,2.174711,919.662545,float,spread,12
11000,11000,11000,2.894527,919.666704,float,spread,12
12000,12000,12000,3.784546,913.187442,float,spread,12
13000,13000,13000,4.823078,911.036444,float,spread,12
14000,14000,14000,6.045041,907.851524,float,spread,12
15000,15000,15000,7.503141,899.623192,float,spread,12
16000,16000,16000,8.884939,922.009657,float,spread,12
17000,17000,17000,10.665883,921.255211,float,spread,12
18000,18000,18000,12.488693,933.964799,float,spread,12
19000,19000,19000,14.729026,931.358278,float,spread,12
20000,20000,20000,17.322559,923.651057,float,spread,12
2000,2000,2000,0.022420,713.664062,float,close,12
3000,3000,3000,0.063123,855.473882,float,close,12
4000,4000,4000,0.140532,910.824723,float,close,12
5000,5000,5000,0.266014,939.800207,float,close,12
6000,6000,6000,0.447978,964.332984,float,close,12
7000,7000,7000,0.714643,959.919538,float,close,12
8000,8000,8000,1.080427,947.773056,float,close,12
9000,9000,9000,1.534555,950.112320,float,close,12
10000,10000,10000,2.141953,933.727507,float,close,12
11000,11000,11000,2.916300,912.800501,float,close,12
12000,12000,12000,3.779214,914.475858,float,close,12
13000,13000,13000,4.882343,899.977760,float,close,12
14000,14000,14000,6.204009,884.589307,float,close,12
15000,15000,15000,7.503232,899.612332,float,close,12
16000,16000,16000,8.853124,925.323081,float,close,12
17000,17000,17000,10.604072,926.625151,float,close,12
18000,18000,18000,12.384742,941.804022,float,close,12
19000,19000,19000,14.780867,928.091711,float,close,12
20000,20000,20000,17.049657,938.435313,float,close,12
2000,2000,2000,0.040883,391.362234,double,spread,12
3000,3000,3000,0.122267,441.654916,double,spread,12
4000,4000,4000,0.280137,456.918481,double,spread,12
5000,5000,5000,0.558025,448.008699,double,spread,12
6000,6000,6000,0.971372,444.731910,double,spread,12
7000,7000,7000,1.549701,442.666156,double,spread,12
8000,8000,8000,2.400200,426.631129,double,spread,12
9000,9000,9000,3.492343,417.484773,double,spread,12
10000,10000,10000,4.875238,410.236413,double,spread,12
11000,11000,11000,6.518311,408.387971,double,spread,12
12000,12000,12000,8.397059,411.572648,double,spread,12
13000,13000,13000,10.950199,401.271256,double,spread,12
14000,14000,14000,13.431639,408.587504,double,spread,12
15000,15000,15000,16.495241,409.208942,double,spread,12
16000,16000,16000,19.684183,416.171704,double,spread,12
17000,17000,17000,23.155863,424.341776,double,spread,12
18000,18000,18000,27.506072,424.051824,double,spread,12
19000,19000,19000,32.300878,424.694340,double,spread,12
20000,20000,20000,37.928186,421.849862,double,spread,12
2000,2000,2000,0.041064,389.632588,double,close,12
3000,3000,3000,0.121676,443.799755,double,close,12
4000,4000,4000,0.280535,456.271210,double,close,12
5000,5000,5000,0.542838,460.542221,double,close,12
6000,6000,6000,0.941082,459.046231,double,close,12
7000,7000,7000,1.539326,445.649642,double,close,12
8000,8000,8000,2.390664,428.332846,double,close,12
9000,9000,9000,3.495309,417.130526,double,close,12
10000,10000,10000,4.873887,410.350122,double,close,12
11000,11000,11000,6.555836,406.050423,double,close,12
12000,12000,12000,8.405559,411.156473,double,close,12
13000,13000,13000,10.605236,414.323634,double,close,12
14000,14000,14000,13.428386,408.686505,double,close,12
15000,15000,15000,16.305131,413.980126,double,close,12
16000,16000,16000,19.493934,420.233299,double,close,12
17000,17000,17000,23.026433,426.726968,double,close,12
18000,18000,18000,27.667496,421.577729,double,close,12
19000,19000,19000,32.309285,424.583829,double,close,12
20000,20000,20000,37.715205,424.232088,double,close,12
