M,N,K,Time(s),GFLOPS,Precision,Binding,Cores
2000,2000,2000,0.015712,1018.341670,float,spread,12
3000,3000,3000,0.041908,1288.535504,float,spread,12
4000,4000,4000,0.089473,1430.598855,float,spread,12
5000,5000,5000,0.165093,1514.302579,float,spread,12
6000,6000,6000,0.286776,1506.403980,float,spread,12
7000,7000,7000,0.449040,1527.703294,float,spread,12
8000,8000,8000,0.660943,1549.302344,float,spread,12
9000,9000,9000,0.925433,1575.478972,float,spread,12
10000,10000,10000,1.281215,1561.018800,float,spread,12
11000,11000,11000,1.720651,1547.089206,float,spread,12
12000,12000,12000,2.189272,1578.607230,float,spread,12
13000,13000,13000,2.826466,1554.591277,float,spread,12
14000,14000,14000,3.510958,1563.106307,float,spread,12
15000,15000,15000,4.308257,1566.758748,float,spread,12
16000,16000,16000,5.232217,1565.684162,float,spread,12
17000,17000,17000,6.225061,1578.458313,float,spread,12
18000,18000,18000,7.351574,1586.598971,float,spread,12
19000,19000,19000,8.501339,1613.628193,float,spread,12
20000,20000,20000,10.048555,1592.268736,float,spread,12
2000,2000,2000,0.015989,1000.660060,float,close,12
3000,3000,3000,0.041888,1289.159288,float,close,12
4000,4000,4000,0.089876,1424.183053,float,close,12
5000,5000,5000,0.168424,1484.352540,float,close,12
6000,6000,6000,0.281425,1535.042183,float,close,12
7000,7000,7000,0.447817,1531.874406,float,close,12
8000,8000,8000,0.661885,1547.096087,float,close,12
9000,9000,9000,0.925724,1574.982799,float,close,12
10000,10000,10000,1.280616,1561.748654,float,close,12
11000,11000,11000,1.717726,1549.723248,float,close,12
12000,12000,12000,2.198501,1571.980443,float,close,12
13000,13000,13000,2.819383,1558.497258,float,close,12
14000,14000,14000,3.507459,1564.665366,float,close,12
15000,15000,15000,4.314697,1564.420242,float,close,12
16000,16000,16000,5.304185,1544.440824,float,close,12
17000,17000,17000,6.207599,1582.898586,float,close,12
18000,18000,18000,7.298236,1598.194509,float,close,12
19000,19000,19000,8.634234,1588.791781,float,close,12
20000,20000,20000,10.053504,1591.484927,float,close,12
2000,2000,2000,0.026558,602.454596,double,spread,12
3000,3000,3000,0.077192,699.552745,double,spread,12
4000,4000,4000,0.175060,731.176086,double,spread,12
5000,5000,5000,0.341089,732.946017,double,spread,12
6000,6000,6000,0.560308,771.004577,double,spread,12
7000,7000,7000,0.920898,744.925023,double,spread,12
8000,8000,8000,1.408368,727.082585,double,spread,12
9000,9000,9000,1.909988,763.355776,double,spread,12
10000,10000,10000,2.522896,792.739766,double,spread,12
11000,11000,11000,3.488249,763.133610,double,spread,12
12000,12000,12000,4.554137,758.870438,double,spread,12
13000,13000,13000,5.548931,791.864255,double,spread,12
14000,14000,14000,7.013246,782.519245,double,spread,12
15000,15000,15000,8.615541,783.467908,double,spread,12
16000,16000,16000,11.081976,739.218331,double,spread,12
17000,17000,17000,12.404066,792.159583,double,spread,12
18000,18000,18000,14.972458,779.030407,double,spread,12
19000,19000,19000,17.515999,783.169720,double,spread,12
20000,20000,20000,20.663303,774.319566,double,spread,12
2000,2000,2000,0.027331,585.417970,double,close,12
3000,3000,3000,0.083780,644.542460,double,close,12
4000,4000,4000,0.185743,689.123530,double,close,12
5000,5000,5000,0.339756,735.823045,double,close,12
6000,6000,6000,0.587372,735.479983,double,close,12
7000,7000,7000,1.000581,685.601710,double,close,12
8000,8000,8000,1.366575,749.318382,double,close,12
9000,9000,9000,2.058312,708.347329,double,close,12
10000,10000,10000,2.551886,783.734008,double,close,12
11000,11000,11000,3.550169,749.823545,double,close,12
12000,12000,12000,4.350237,794.439443,double,close,12
13000,13000,13000,5.877325,747.618986,double,close,12
14000,14000,14000,6.962648,788.205822,double,close,12
15000,15000,15000,8.559278,788.617915,double,close,12
16000,16000,16000,10.917954,750.323712,double,close,12
17000,17000,17000,12.348369,795.732621,double,close,12
18000,18000,18000,14.999540,777.623842,double,close,12
19000,19000,19000,17.296027,793.130136,double,close,12
20000,20000,20000,20.945974,763.869934,double,close,12
